,number of time parameters,dimension of unitary matrix,number of target parameters,gradient descent step,l1 distance traversed,l2 distance traversed,loss
0,1024,32.0,-2,0,0.0,0.0,63.7624515311197
1,1024,32.0,-2,1,0.3412020804449511,0.013509732998188521,61.938345941000165
2,1024,32.0,-2,2,0.6821521815606708,0.026994175907540635,60.1213965279728
3,1024,32.0,-2,3,1.0213562439551067,0.04040233357277797,58.32267796687863
4,1024,32.0,-2,4,1.3573573463785404,0.05368550863891722,56.55244614964525
5,1024,32.0,-2,5,1.6892031266132665,0.06679870467423026,54.81976769634083
6,1024,32.0,-2,6,2.0161320690142683,0.07970166401919865,53.13229124149824
7,1024,32.0,-2,7,2.3374657891224517,0.09235950513702375,51.49615867507664
8,1024,32.0,-2,8,2.6520816495933506,0.10474298456549172,49.91603226385707
9,1024,32.0,-2,9,2.9592565566601143,0.11682845045638146,48.39520243794078
10,1024,32.0,-2,10,3.256988964858845,0.12859757359262436,46.93574036077281
11,1024,32.0,-2,11,3.546174587174801,0.1400369403289841,45.53866616748962
12,1024,32.0,-2,12,3.8276602797447574,0.15113757699377053,44.20411357772432
13,1024,32.0,-2,13,4.1001568554166745,0.16189445477229025,42.93148096080283
14,1024,32.0,-2,14,4.3634022552205876,0.17230600433766932,41.7195658032077
15,1024,32.0,-2,15,4.61814534594927,0.1823736542865006,40.56668337572768
16,1024,32.0,-2,16,4.863895217235719,0.19210139798113032,39.4707717437036
17,1024,32.0,-2,17,5.099690500542425,0.20149538901435857,38.42948508600061
18,1024,32.0,-2,18,5.32623068399342,0.21056356455215502,37.440276532680244
19,1024,32.0,-2,19,5.545001157507021,0.2193152964993633,36.50047104002512
20,1024,32.0,-2,20,5.756247678788419,0.22776107140162194,35.60732847426238
21,1024,32.0,-2,21,5.961060070387316,0.23591220048429298,34.75809707367437
22,1024,32.0,-2,22,6.15886793174481,0.24378056103088175,33.95005766417064
23,1024,32.0,-2,23,6.349629915678978,0.2513783695734372,33.18055925700336
24,1024,32.0,-2,24,6.534498267709708,0.2587179864037402,32.447046849103344
25,1024,32.0,-2,25,6.713076807590479,0.2658117499970706,31.74708233154292
26,1024,32.0,-2,26,6.88610057832566,0.2726718392481703,31.07835941710144
27,1024,32.0,-2,27,7.052898999441721,0.279310161032749,30.438713386143363
28,1024,32.0,-2,28,7.213236767004991,0.28573826044787015,29.826126424414483
29,1024,32.0,-2,29,7.36788672491854,0.29196725118940686,29.23872922753364
30,1024,32.0,-2,30,7.5174438573193285,0.29800776367509585,28.674799349317063
31,1024,32.0,-2,31,7.662621531066726,0.3038699087392036,28.132757010387728
32,1024,32.0,-2,32,7.804449522532321,0.30956325494239795,27.611158759116805
33,1024,32.0,-2,33,7.943192950984933,0.31509681770000436,27.10868953120822
34,1024,32.0,-2,34,8.07892437557086,0.3204790585688941,26.624153568437833
35,1024,32.0,-2,35,8.211461622500895,0.32571789313289223,26.156464631150186
36,1024,32.0,-2,36,8.342242037132104,0.33082070600874175,25.70463589527911
37,1024,32.0,-2,37,8.470324131328784,0.3357943715717863,25.26776987223903
38,1024,32.0,-2,38,8.594545016304446,0.3406452790832342,24.845048631931803
39,1024,32.0,-2,39,8.716306738675964,0.34537936099553346,24.435724548675935
40,1024,32.0,-2,40,8.834804654436809,0.3500021233212597,24.03911173078827
41,1024,32.0,-2,41,8.950527451124525,0.35451867707278895,23.654578237107977
42,1024,32.0,-2,42,9.06437381249977,0.3589337699087898,23.281539152445987
43,1024,32.0,-2,43,9.17537010628538,0.3632518172755853,22.919450500282693
44,1024,32.0,-2,44,9.28428344132075,0.36747693242709545,22.56780402571833
45,1024,32.0,-2,45,9.391551572363198,0.3716129548928872,22.226122766861337
46,1024,32.0,-2,46,9.496542621517658,0.37566347704515296,21.893957372077196
47,1024,32.0,-2,47,9.599276796990393,0.37963186854186526,21.57088307773229
48,1024,32.0,-2,48,9.699799086840386,0.3835212985236255,21.256497277718182
49,1024,32.0,-2,49,9.79850688059459,0.3873347555193532,20.950417592485778
50,1024,32.0,-2,50,9.895148906008846,0.39107506509125434,20.652280358867984
51,1024,32.0,-2,51,9.990625975520675,0.39474490530384354,20.361739462570178
52,1024,32.0,-2,52,10.084862066232976,0.39834682014485445,20.07846543293124
53,1024,32.0,-2,53,10.177363081273961,0.4018832310628066,19.80214475192303
54,1024,32.0,-2,54,10.268240309475251,0.4053564467939007,19.53247929491384
55,1024,32.0,-2,55,10.357406227874183,0.4087686716808675,19.26918587465733
56,1024,32.0,-2,56,10.444941159898775,0.4121220126802724,19.01199581942707
57,1024,32.0,-2,57,10.5312755704767,0.4154184852348427,18.76065460378333
58,1024,32.0,-2,58,10.616519473127902,0.4186600182388276,18.51492143868559
59,1024,32.0,-2,59,10.700369229886913,0.42184845822772654,18.274568853374006
60,1024,32.0,-2,60,10.783436035899792,0.4249855729755545,18.039382238888756
61,1024,32.0,-2,61,10.864901727216022,0.4280730546346338,17.809159336581757
62,1024,32.0,-2,62,10.944848065563475,0.43111252255580046,17.583709702899014
63,1024,32.0,-2,63,11.023304453690308,0.43410552586371975,17.36285411444271
64,1024,32.0,-2,64,11.099904340251372,0.43705354591509527,17.146423935263073
65,1024,32.0,-2,65,11.175563940484864,0.43995799867203095,16.93426046024065
66,1024,32.0,-2,66,11.250104606275325,0.4428202370644705,16.726214234681727
67,1024,32.0,-2,67,11.324549619070797,0.44564155337280975,16.522144360484454
68,1024,32.0,-2,68,11.398644956212113,0.44842318165344486,16.32191780033547
69,1024,32.0,-2,69,11.472331861503926,0.45116630021991105,16.125408688902468
70,1024,32.0,-2,70,11.545013486796728,0.45387203418176547,15.932497658353626
71,1024,32.0,-2,71,11.616909731604139,0.4565414580362157,15.74307119211278
72,1024,32.0,-2,72,11.687789507908157,0.45917559829029986,15.557021010471715
73,1024,32.0,-2,73,11.758128197989562,0.4617754361371423,15.37424347198617
74,1024,32.0,-2,74,11.828079922018219,0.46434191009410425,15.194639053884359
75,1024,32.0,-2,75,11.897016859868444,0.46687591865057315,15.01811183717519
76,1024,32.0,-2,76,11.964986972375172,0.469378322871629,14.844569061976323
77,1024,32.0,-2,77,12.032331264009398,0.47184994893687965,14.673920731743053
78,1024,32.0,-2,78,12.09874299739689,0.47429159061726944,14.506079239076186
79,1024,32.0,-2,79,12.164097435214522,0.47670401162604287,14.340959067695493
80,1024,32.0,-2,80,12.22851900421876,0.47908794787545395,14.17847652039626
81,1024,32.0,-2,81,12.292234580384491,0.48144410959901296,14.018549497857776
82,1024,32.0,-2,82,12.355616836202811,0.4837731833354284,13.86109731550674
83,1024,32.0,-2,83,12.418112014840586,0.4860758337644138,13.706040559081458
84,1024,32.0,-2,84,12.479809713200465,0.4883527053883372,13.553300975757935
85,1024,32.0,-2,85,12.540703677016573,0.4906044240557738,13.402801398241856
86,1024,32.0,-2,86,12.600447200453072,0.4928315983251187,13.254465699289554
87,1024,32.0,-2,87,12.659535883768907,0.495034820668269,13.108218774263257
88,1024,32.0,-2,88,12.717660199971991,0.49721466851598783,12.963986549528968
89,1024,32.0,-2,89,12.774889041582039,0.4993717051479104,12.821696014676562
90,1024,32.0,-2,90,12.83127694558928,0.5015064804312473,12.681275276806218
91,1024,32.0,-2,91,12.886664205711588,0.5036195314131213,12.542653635295451
92,1024,32.0,-2,92,12.941035976563857,0.5057113827721372,12.405761675670135
93,1024,32.0,-2,93,12.994423090285734,0.5077825471353,12.270531381355319
94,1024,32.0,-2,94,13.046807259728574,0.5098335252667664,12.13689626207777
95,1024,32.0,-2,95,13.098368968495658,0.5118648061360938,12.00479149842127
96,1024,32.0,-2,96,13.149089828128226,0.5138768668684266,11.874154100669614
97,1024,32.0,-2,97,13.199230843786008,0.51587017259187,11.744923078443513
98,1024,32.0,-2,98,13.248589131637994,0.5178451761840109,11.617039631000601
99,1024,32.0,-2,99,13.297215624392106,0.5198023179302814,11.490447336137152
100,1024,32.0,-2,100,13.34489009034707,0.5217420250869489,11.365092357384725
101,1024,32.0,-2,101,13.39207998103896,0.523664711379227,11.240923654116344
102,1024,32.0,-2,102,13.439173112424104,0.5255707764302295,11.117893196292513
103,1024,32.0,-2,103,13.485451958491765,0.5274606051331754,10.995956182843202
104,1024,32.0,-2,104,13.530974102317842,0.5293345669798707,10.875071254075891
105,1024,32.0,-2,105,13.576075118266171,0.5311930153520231,10.755200702930296
106,1024,32.0,-2,106,13.620890272852957,0.5330362867929415,10.63631067347309
107,1024,32.0,-2,107,13.664996482475752,0.5348647002710922,10.518371351768344
108,1024,32.0,-2,108,13.708533201518541,0.5366785564469855,10.401357126523706
109,1024,32.0,-2,109,13.752104206442805,0.5384781369660029,10.28524673798313
110,1024,32.0,-2,110,13.795253098680684,0.5402637037856854,10.17002339264883
111,1024,32.0,-2,111,13.83792436509141,0.542035498558221,10.055674845975886
112,1024,32.0,-2,112,13.879943539531805,0.5437937420844244,9.942193446677862
113,1024,32.0,-2,113,13.921407262199462,0.5455386338547895,9.829576141922516
114,1024,32.0,-2,114,13.962619292181728,0.5472703517028714,9.717824431016957
115,1024,32.0,-2,115,14.003212519990825,0.5489890515699355,9.606944276481926
116,1024,32.0,-2,116,14.043252246706363,0.5506948674138208,9.496945961632974
117,1024,32.0,-2,117,14.08314865905861,0.552387911266116,9.387843897391377
118,1024,32.0,-2,118,14.12313035953676,0.5540682734509088,9.27965637797044
119,1024,32.0,-2,119,14.162808003232616,0.555736022973863,9.172405286991925
120,1024,32.0,-2,120,14.201944001782225,0.557391208087401,9.066115756885438
121,1024,32.0,-2,121,14.240744469668208,0.5590338570344524,8.96081578564629
122,1024,32.0,-2,122,14.279287621732799,0.560663978969645,8.856535816332595
123,1024,32.0,-2,123,14.317334338862572,0.5622815650530604,8.753308285702673
124,1024,32.0,-2,124,14.3549980658413,0.5638865897079064,8.651167149370792
125,1024,32.0,-2,125,14.392197526667681,0.5654790120297438,8.550147390780708
126,1024,32.0,-2,126,14.428852657070262,0.5670587773288438,8.45028452732403
127,1024,32.0,-2,127,14.465396760809547,0.568625818799792,8.351614110309889
128,1024,32.0,-2,128,14.501566322706818,0.57018005927017,8.254171243800108
129,1024,32.0,-2,129,14.537334801349758,0.5717214130313332,8.157990118275066
130,1024,32.0,-2,130,14.573007849222886,0.5732497877124352,8.063103571937177
131,1024,32.0,-2,131,14.608812030925863,0.5747650861743273,7.9695426857218905
132,1024,32.0,-2,132,14.644110067490574,0.5762672083970889,7.877336417949763
133,1024,32.0,-2,133,14.678787796132335,0.577756053335526,7.786511283125918
134,1024,32.0,-2,134,14.713229136502708,0.5792315207185436,7.697091079945338
135,1024,32.0,-2,135,14.747277141197376,0.5806935127678934,7.609096666771769
136,1024,32.0,-2,136,14.781309668126498,0.5821419358197714,7.522545790805772
137,1024,32.0,-2,137,14.814872073962306,0.5835767018277409,7.43745296666129
138,1024,32.0,-2,138,14.848404046806053,0.584997729734382,7.3538294045225285
139,1024,32.0,-2,139,14.881581055165796,0.5864049466998437,7.271682985210489
140,1024,32.0,-2,140,14.914253305767163,0.5877982891791456,7.191018278453129
141,1024,32.0,-2,141,14.946481001197514,0.5891777038440943,7.111836603052481
142,1024,32.0,-2,142,14.978587356445344,0.5905431483437561,7.034136118112798
143,1024,32.0,-2,143,15.010658196502323,0.5918945919135393,6.95791194908243
144,1024,32.0,-2,144,15.04249800529097,0.5932320158268852,6.883156337450956
145,1024,32.0,-2,145,15.073999743730356,0.5945554137006823,6.809858811705794
146,1024,32.0,-2,146,15.105204886911729,0.595864791661131,6.738006374392768
147,1024,32.0,-2,147,15.136035605851525,0.5971601683794713,6.667583693676413
148,1024,32.0,-2,148,15.166303619734997,0.5984415749811431,6.598573337847483
149,1024,32.0,-2,149,15.196318899945727,0.5997090548755885,6.530955941895613
150,1024,32.0,-2,150,15.225966943469412,0.6009626634457701,6.464710446100696
151,1024,32.0,-2,151,15.255235379451879,0.6022024676838287,6.399814295717867
152,1024,32.0,-2,152,15.284181406012843,0.6034285457470657,6.33624364261717
153,1024,32.0,-2,153,15.312680730278643,0.6046409864537825,6.273973539490584
154,1024,32.0,-2,154,15.340763366768135,0.6058398887307112,6.2129781254012855
155,1024,32.0,-2,155,15.368491007596935,0.6070253610205407,6.153230800332992
156,1024,32.0,-2,156,15.396068536433948,0.6081975206640298,6.094704389314984
157,1024,32.0,-2,157,15.423301646767044,0.609356493261099,6.037371292330263
158,1024,32.0,-2,158,15.450261534199797,0.610502412029578,5.981203632710752
159,1024,32.0,-2,159,15.476938633841433,0.611635417127551,5.926173372408982
160,1024,32.0,-2,160,15.503356228597763,0.6127556550304413,5.872252436344461
161,1024,32.0,-2,161,15.529494375261574,0.6138632778807691,5.8194128144937025
162,1024,32.0,-2,162,15.55544116355683,0.6149584428609521,5.767626654821605
163,1024,32.0,-2,163,15.581285593928785,0.6160413115836866,5.716866345466187
164,1024,32.0,-2,164,15.60686451692672,0.6171120495032159,5.66710458637651
165,1024,32.0,-2,165,15.632170445157083,0.6181708253494711,5.618314453385757
166,1024,32.0,-2,166,15.657040716365891,0.6192178105904488,5.570469449508984
167,1024,32.0,-2,167,15.68172606097508,0.6202531789175142,5.523543552020591
168,1024,32.0,-2,168,15.706242955062915,0.6212771057615826,5.477511250064566
169,1024,32.0,-2,169,15.730383561922137,0.6222897678372104,5.432347575820103
170,1024,32.0,-2,170,15.754271176691049,0.6232913427155446,5.388028129508939
171,1024,32.0,-2,171,15.777860540458907,0.6242820084260376,5.344529098806106
172,1024,32.0,-2,172,15.801337306423154,0.6252619430865696,5.301827273290328
173,1024,32.0,-2,173,15.824424563081168,0.6262313245614072,5.259900054433487
174,1024,32.0,-2,174,15.84713018157168,0.6271903301462444,5.218725461678716
175,1024,32.0,-2,175,15.86949190113355,0.6281391362794345,5.178282135040888
176,1024,32.0,-2,176,15.89159349861708,0.629077918278411,5.138549332951698
177,1024,32.0,-2,177,15.913386144918054,0.6300068500972387,5.099506936211597
178,1024,32.0,-2,178,15.934848113598587,0.6309261041192308,5.061135432143267
179,1024,32.0,-2,179,15.95604109616339,0.6318358509529058,5.023415914383122
180,1024,32.0,-2,180,15.977036324867289,0.6327362592610358,4.986330072207181
181,1024,32.0,-2,181,15.997974691323746,0.6336274956059306,4.949860180247512
182,1024,32.0,-2,182,16.019159650632794,0.6345097243129404,4.913989087066213
183,1024,32.0,-2,183,16.04011703123829,0.6353831073510062,4.878700202779939
184,1024,32.0,-2,184,16.060766127254862,0.6362478042291249,4.843977485950006
185,1024,32.0,-2,185,16.081167559324108,0.6371039719076234,4.809805429876413
186,1024,32.0,-2,186,16.101274380149384,0.6379517647231802,4.776169048457376
187,1024,32.0,-2,187,16.121216988730236,0.6387913343265732,4.74305386173846
188,1024,32.0,-2,188,16.14093098912884,0.6396228296321802,4.710445881055591
189,1024,32.0,-2,189,16.160541385374145,0.6404463967782811,4.678331595067547
190,1024,32.0,-2,190,16.17996997967608,0.6412621790973657,4.646697953772225
191,1024,32.0,-2,191,16.19941201276201,0.6420703170955351,4.615532354576466
192,1024,32.0,-2,192,16.218778146115426,0.6428709484401965,4.58482262747107
193,1024,32.0,-2,193,16.23787027426496,0.6436642079553861,4.5545570205610915
194,1024,32.0,-2,194,16.256706596645817,0.6444502276239975,4.524724185811181
195,1024,32.0,-2,195,16.275344469340133,0.6452291365962756,4.495313165028129
196,1024,32.0,-2,196,16.294152893496847,0.6460010612039709,4.466313376115835
197,1024,32.0,-2,197,16.31282621588761,0.646766124979595,4.437714599626844
198,1024,32.0,-2,198,16.33124763472295,0.6475244486802519,4.409506965629703
199,1024,32.0,-2,199,16.349701038487733,0.6482761503155667,4.381680940911217
200,1024,32.0,-2,200,16.36803239518393,0.6490213451792569,4.3542273165145815
201,1024,32.0,-2,201,16.386139896982655,0.6497601458839342,4.327137195636766
