,number of time parameters,dimension of unitary matrix,number of target parameters,gradient descent step,l1 distance traversed,l2 distance traversed,loss
0,1126,32.0,-2,0,0.0,0.0,62.310382946256496
1,1126,32.0,-2,1,0.3423791688402976,0.012735699792741905,60.53648840204984
2,1126,32.0,-2,2,0.6807039489112214,0.02531639826221604,58.805345313360675
3,1126,32.0,-2,3,1.0139223191707833,0.03770572970597709,57.12367483178232
4,1126,32.0,-2,4,1.3410858075728167,0.04987341705009697,55.49625919026214
5,1126,32.0,-2,5,1.6614105206131553,0.061795670736930604,53.92598169061665
6,1126,32.0,-2,6,1.9749659436257916,0.07345512520444794,52.414017980215675
7,1126,32.0,-2,7,2.281949473041737,0.0848403773972069,50.960132328120885
8,1126,32.0,-2,8,2.581604870164144,0.09594523452937362,49.56302464659673
9,1126,32.0,-2,9,2.8740752544932544,0.10676779486461158,48.22067831518046
10,1126,32.0,-2,10,3.1591319195889724,0.11730947850144685,46.93067123046942
11,1126,32.0,-2,11,3.4361955944433236,0.12757410264433142,45.69042779580556
12,1126,32.0,-2,12,3.705836028001788,0.13756706631845142,44.49740371771708
13,1126,32.0,-2,13,3.968209609745466,0.14729468014531288,43.349206177034034
14,1126,32.0,-2,14,4.224390037175146,0.1567636522269622,42.24365855177053
15,1126,32.0,-2,15,4.475650450786571,0.16598072337391315,41.1788218236886
16,1126,32.0,-2,16,4.720753993919162,0.17495243387322104,40.152985145645765
17,1126,32.0,-2,17,4.9590171385569395,0.18368499864192045,39.16463666075554
18,1126,32.0,-2,18,5.191209240885437,0.1921842663512241,38.21242384543834
19,1126,32.0,-2,19,5.41704132725612,0.20045573942441866,37.29511030298341
20,1126,32.0,-2,20,5.6368642861490805,0.208504634499662,36.41153404690426
21,1126,32.0,-2,21,5.851469494323911,0.21633596614683454,35.56057078836989
22,1126,32.0,-2,22,6.0603661157273,0.22395463984002345,34.74110418372388
23,1126,32.0,-2,23,6.263248218917939,0.23136554327428066,33.952004175739255
24,1126,32.0,-2,24,6.461075360271284,0.23857362783740702,33.19211357465274
25,1126,32.0,-2,25,6.652995745733167,0.24558397470313892,32.4602423740494
26,1126,32.0,-2,26,6.838294195995505,0.25240184224433915,31.755168812210727
27,1126,32.0,-2,27,7.018350938407453,0.2590326935286603,31.0756458959562
28,1126,32.0,-2,28,7.194067349687716,0.2654822043640129,30.420411748542612
29,1126,32.0,-2,29,7.364345860258845,0.2717562537141229,29.788202443269704
30,1126,32.0,-2,30,7.529903334362439,0.2778608992350835,29.17776579452189
31,1126,32.0,-2,31,7.691000427603873,0.2838023412488652,28.58787497653138
32,1126,32.0,-2,32,7.847971174423151,0.28958687861639265,28.01734103500158
33,1126,32.0,-2,33,8.00078063561359,0.2952208598811727,27.46502369053495
34,1126,32.0,-2,34,8.149945051044432,0.300710632697093,26.929840038811903
35,1126,32.0,-2,35,8.295544213170132,0.3060624940595214,26.410771080408963
36,1126,32.0,-2,36,8.436388663174213,0.3112826433545852,25.906865982792475
37,1126,32.0,-2,37,8.573217760926408,0.316377139600027,25.417244451767857
38,1126,32.0,-2,38,8.706747079787615,0.32135186391775356,24.941097250468424
39,1126,32.0,-2,39,8.838232496848757,0.326212487642179,24.47768529719496
40,1126,32.0,-2,40,8.968239622524335,0.3309644463228813,24.026337539571188
41,1126,32.0,-2,41,9.096337769281595,0.3356129194909336,23.586447904162426
