steps,avg_loss
0,3.920149780897171
1,4.035867042962669
2,4.03872199983668
3,4.022881123893761
4,3.9383653837302006
5,3.9677184848461153
6,4.054891820092486
7,3.9111602384161346
8,4.012988386103653
9,3.955305264311748
10,3.8954916011128136
11,3.9669985951889783
12,4.0288938517281725
13,4.061540261779682
14,4.0294754799815875
15,3.9901837376094074
16,4.087533097283993
17,4.0191882303695134
18,3.959042402192304
19,3.967430132539026
20,3.930632646531619
21,3.9390332542931477
22,4.03982970859398
23,3.9935009433882938
24,3.8180794474042843
25,4.046915224946689
26,3.9861187154350888
27,3.973588376939972
28,3.9285689748245893
29,3.9788387628501694
30,3.989497811195848
31,3.901209819850171
32,3.943765981665711
33,4.054868142632003
34,4.06934755119464
35,4.053308276512256
36,4.001932456010398
37,4.037609304754952
38,3.9641809321446813
39,4.01347973768481
40,3.9025831992619393
41,3.939225965616952
42,4.087793640965641
43,3.8939175484965403
44,3.9769257895203487
45,3.9049558675931118
46,4.056216465695759
47,4.007644892272263
48,3.908670580591431
49,3.991285980012602
50,3.882319731779403
51,3.8485156531567855
52,3.940791363787329
53,4.041460523019076
54,3.9739893419615404
55,4.003733538054613
56,3.992503077720785
57,3.9492145132179517
58,4.079304422095449
59,4.042860826685322
60,3.827283233318441
61,3.9396295596469644
62,3.9267709131767803
63,3.9107377477035064
64,3.968166216199839
65,3.920183626692984
66,3.891565968264581
67,4.010735702568767
68,3.9148665827271985
69,3.8581241781952924
70,4.01000561015052
71,3.8943756401868557
72,3.9826613547601197
73,3.871513936565637
74,3.9660135545122683
75,3.9032319106569524
76,4.1063370195688496
77,3.951830825199086
78,3.9857607039139653
79,3.8321684901761843
80,3.686208089695551
81,3.914530146705933
82,3.9669548896333495
83,3.9425597895505198
84,3.9266825048331606
85,3.9126666461802784
86,3.9579865114123116
87,3.8457272503614286
88,3.834643488682075
89,3.9494935583209703
90,3.861235560631292
91,3.9436426963936286
92,3.972278427579449
93,3.860100569575694
94,3.861378283945239
95,3.95249890958904
96,4.046036250360782
97,3.625704371030325
98,3.915187753064288
99,3.9780994382008217
100,3.84654967541219
101,4.052934941150214
102,4.023908816014543
