steps,avg_loss
0,4.027701040854696
1,3.8968339666862457
2,3.912759313858205
3,4.028539381041028
4,4.0209914161799265
5,4.026248364246261
6,4.019476788465531
7,4.03140457456478
8,4.034104647037077
9,3.9998693117357775
10,3.917976211161444
11,4.031745302259095
12,4.011828552031291
13,3.9456644565652015
14,4.02816233537641
15,4.02009716206323
16,4.019668453287989
17,3.9500933123592956
18,3.9728730324654498
19,3.957851461283814
20,3.9480443132428333
21,4.040914549909389
22,4.0469697626297
23,4.000518522462269
24,4.0026792458620655
25,4.032415649930458
26,3.894235028730175
27,4.0561880895310924
28,4.0273021137675595
29,3.971922803450147
30,3.972128889382023
31,3.9870505486621752
32,3.9986540046258012
33,4.027759777053009
34,4.026703688978924
35,3.929757258617839
36,4.027802163719029
37,3.8826238560185553
38,3.96435888012508
39,4.031255119059676
40,4.010376341512979
41,3.954764001039898
42,4.004254019847062
43,3.9019762015393598
44,4.076300234042099
45,4.026371678991812
46,3.949504857078503
47,3.9949146319044155
48,3.998211845847544
49,4.00318273292755
50,4.012693827961819
51,3.969422312920956
52,3.894132728450928
53,3.9840346600740504
54,3.9734686724705552
55,3.8991138934396554
56,4.0126684141942865
57,3.912792443015352
58,3.969244047595957
59,4.013111223633342
60,3.967481458692885
61,3.989922903680938
62,4.035455612766014
63,4.033404182151996
64,3.8565345813782925
65,3.962453860862724
66,3.9485164125791954
67,3.945366802099797
68,4.011898681779017
69,3.990788598264839
70,3.9963149463442798
71,4.121134234152143
72,4.0250849099041135
73,3.8959194613202905
74,4.010199153047588
75,3.849554204690196
76,4.017685691778698
77,4.014822121378072
78,3.905423151563935
79,3.9171860867606787
80,3.8849564767978655
81,4.011011874072331
82,3.9867051046564987
83,3.9279800689006104
84,4.0001736722496
85,4.000736293068737
86,3.8865796505894243
87,3.986427361153362
88,3.9518677395469326
89,3.7935307048995646
90,3.9137764376529374
91,4.015911833276446
92,3.9127244285105647
93,3.962315027458132
94,3.995943327277748
95,4.031296825834757
96,3.943096371194572
97,4.0538368102428715
98,4.038090376019577
99,4.072715181361591
100,4.007549894386216
101,4.011028376057098
102,3.9334535471704326
103,3.955239418444701
104,4.025203495627432
105,4.044365592958219
106,3.8528987852820364
107,3.9804840670561292
108,4.017011331244376
109,4.068971309690465
110,3.997302495037629
111,4.089473053784923
112,4.01023855713877
113,3.923836579280794
114,3.9254384462961105
115,3.914191155772451
116,3.9191593043625113
117,3.9918219881161043
118,3.8802298062099125
119,4.023197372235192
