steps,avg_loss
0,4.121926307678223
1,4.106733179092407
2,4.038290500640869
3,3.9485613107681274
4,4.001166820526123
5,4.0743185994830045
6,4.062751770019531
7,4.028092765590182
8,4.12914085344599
9,4.023207664489746
10,4.019167423248291
11,4.021091341754428
12,4.005356311798096
13,3.988297700881958
14,4.042285323143005
15,4.025859451293945
16,4.130733131926519
17,3.887678360939026
18,3.9801371095385463
19,4.044189613451923
20,4.0405659675598145
21,3.909415049666267
22,3.976809514399412
23,3.9218477964401246
24,4.019324922561646
25,3.946397304534912
26,3.912276917952984
27,3.9736376760210903
28,3.984984612246982
29,4.06809446811676
30,3.957372546195984
31,4.046529293060303
32,3.9724143981933593
33,4.003632616778842
34,4.0848385504593425
35,4.013974189758301
36,4.034182548522949
37,4.041657233238221
38,4.0208418607711796
39,4.009761810302734
40,3.9762682914733887
41,4.082507610321045
42,3.9740297555923463
43,4.0545549392700195
44,4.009316992323859
45,3.9604605327600355
46,4.008755349894992
47,3.978530788203708
48,3.9588065147399902
49,4.068580627441406
50,3.958968448638916
51,3.9731197357177734
52,3.9894914148058804
53,3.9634691953659056
54,3.9779276847839355
55,3.937063217163086
56,4.03395938873291
57,3.9877337347024793
58,3.8860801826471203
59,3.9297690391540527
60,3.876026350516766
61,3.9645611524581907
62,4.014643216133118
63,3.9953330884927625
64,4.021263122558594
65,3.9699965953826903
66,4.023174285888672
67,4.063631534576416
68,3.847107011336773
69,4.075296878814697
70,4.051609992980957
71,3.9415069339480313
72,3.944617509841919
73,4.046619415283203
74,4.062390327453613
75,4.053040981292725
76,3.9186617132515265
77,4.040709018707275
78,3.8767249584198
79,3.96389787818858
80,3.9576313495635986
81,4.000095176696777
82,3.948578966712367
83,3.9398670196533203
84,3.999706983566284
85,4.023379588127137
86,3.9867916822433473
87,3.912347823420486
88,3.971203327178955
89,3.9859731197357178
90,3.944297551890841
91,4.049997329711914
92,3.9985241889953613
93,4.031511688014499
94,4.006625080108643
95,3.9577128887176514
96,4.057915687343112
97,3.903179883956909
98,4.055058813095092
99,4.057736873626709
100,4.036629676818848
101,3.9851467609405518
102,4.07955865838193
103,3.916865110397339
104,4.131515359442693
105,4.020653271457187
106,4.044511318206787
107,4.077990507861605
108,4.11383452393674
109,3.9642485857009886
110,3.9327940940856934
111,3.9881973266601562
112,3.992911624908447
113,3.9401988983154297
114,4.014562463760376
115,3.9623932836260707
116,4.043587684631348
117,4.113738983263935
118,3.993461942454806
119,3.9582522628512296
